RecordID,EmployeeID,Date,HoursWorked,Project,Task,Location,Billable,Rate,Cost
108,396,7/13/2024,9,Research,wall,Remote,Yes,60,540
109,837,5/13/2024,10,clienta,step,Remote,No,60,600
110,855,7/23/2024,8,Research,entire,Hybrid,No,30,240
111,621,11/10/2024,6,clienta,rise,Onsite,No,45,270
112,653,4/11/2024,7,ClientA,discuss,Hybrid,No,60,420
113,845,3/5/2025,7,Research,spring,Hybrid,Yes,75,525
114,154,5/8/2024,9,clienta,inside,Onsite,Yes,30,270
115,99,8/16/2025,8,ClientA,able,Onsite,Yes,60,480
116,853,2/27/2024,9,Research,own,Hybrid,Yes,30,270
117,144,6/1/2025,6,ProjectX,according,Hybrid,Yes,45,270
118,796,12/19/2024,8,clienta,adult,Remote,No,60,480
119,64,6/30/2024,7,CLIENT A,PM,Hybrid,Yes,30,210
120,329,1/27/2025,7,Internal,but,Remote,Yes,75,525
121,226,12/5/2023,10,Research,decide,Hybrid,Yes,75,750
122,455,7/15/2025,6,ProjectX,radio,Onsite,No,30,180
123,81,4/3/2025,9,ProjectX,low,Remote,No,75,675
124,187,1/11/2025,8,CLIENT A,that,Onsite,No,45,360
125,992,12/1/2024,8,ProjectX,popular,Remote,Yes,45,360
126,799,5/3/2025,10,CLIENT A,everyone,Hybrid,No,60,600
127,838,7/9/2025,6,Research,better,Hybrid,Yes,30,180
128,666,4/12/2025,8,clienta,large,Onsite,Yes,45,360
129,589,7/19/2025,10,Internal,public,Remote,No,75,750
130,396,5/29/2024,10,Research,site,Remote,No,30,300
131,250,11/6/2024,6,CLIENT A,behavior,Onsite,Yes,45,270
132,677,10/16/2025,6,Internal,interesting,Onsite,Yes,45,270
133,73,10/4/2024,6,ClientA,same,Remote,No,75,450
134,273,5/18/2025,9,clienta,point,Hybrid,No,45,405
135,221,9/26/2025,8,Research,describe,Hybrid,No,75,600
136,944,5/10/2024,7,Internal,lose,Remote,No,75,525
137,923,2/14/2024,10,Internal,early,Remote,No,30,300
138,305,7/4/2025,9,Research,make,Onsite,No,30,270
139,220,3/14/2025,6,ProjectX,day,Hybrid,No,60,360
140,784,10/25/2024,6,Internal,vote,Hybrid,Yes,60,360
141,109,12/27/2023,8,clienta,civil,Onsite,Yes,75,600
142,25,12/2/2024,6,Research,several,Onsite,No,45,270
143,65,6/26/2025,8,clienta,human,Hybrid,Yes,45,360
144,836,8/30/2025,9,ClientA,world,Hybrid,Yes,30,270
145,307,2/14/2024,7,ClientA,significant,Remote,Yes,60,420
146,994,12/21/2023,6,ProjectX,could,Hybrid,No,75,450
147,499,9/28/2025,9,Research,begin,Onsite,Yes,60,540
148,803,9/8/2025,8,Research,clearly,Hybrid,No,60,480
149,258,11/11/2023,6,CLIENT A,course,Onsite,Yes,45,270
150,392,5/31/2025,6,CLIENT A,do,Hybrid,No,60,360
151,713,4/11/2024,7,Research,federal,Remote,Yes,60,420
152,445,1/1/2025,8,Internal,near,Onsite,No,75,600
153,375,7/25/2025,6,ClientA,instead,Remote,No,60,360
154,624,7/29/2025,9,ClientA,machine,Onsite,No,45,405
155,704,4/30/2025,9,ProjectX,move,Onsite,No,75,675
156,211,5/13/2024,7,Research,next,Onsite,Yes,30,210
157,207,6/29/2025,6,clienta,business,Onsite,No,60,360
158,413,9/15/2025,6,clienta,cost,Remote,Yes,75,450
159,359,4/16/2025,7,Research,house,Hybrid,Yes,75,525
160,948,10/15/2024,9,ProjectX,contain,Onsite,No,45,405
161,74,4/22/2025,8,ProjectX,professional,Remote,No,75,600
162,651,9/5/2025,8,Research,provide,Hybrid,No,75,600
163,37,6/7/2025,7,ProjectX,establish,Remote,No,30,210
164,711,3/11/2025,6,ProjectX,word,Hybrid,Yes,75,450
165,299,11/21/2023,8,ClientA,eat,Remote,Yes,60,480
166,132,11/13/2024,7,clienta,likely,Onsite,No,60,420
167,565,1/26/2024,9,Internal,ability,Hybrid,Yes,75,675
168,140,1/12/2024,7,ClientA,debate,Onsite,Yes,60,420
169,293,12/21/2024,7,clienta,none,Remote,Yes,75,525
170,721,3/14/2025,8,Research,bank,Onsite,No,45,360
171,575,6/16/2025,7,Internal,well,Hybrid,Yes,45,315
172,565,11/29/2023,9,CLIENT A,main,Hybrid,No,60,540
173,343,10/22/2024,8,CLIENT A,always,Remote,No,75,600
174,667,3/13/2024,9,Internal,thus,Hybrid,No,45,405
175,900,6/24/2025,7,Research,red,Hybrid,Yes,60,420
176,318,9/24/2024,8,ClientA,newspaper,Onsite,Yes,75,600
177,890,8/21/2025,6,CLIENT A,stage,Onsite,No,45,270
178,330,3/6/2025,6,Research,religious,Hybrid,Yes,45,270
179,308,12/19/2024,7,ClientA,wish,Remote,Yes,45,315
180,810,11/6/2025,6,Internal,watch,Hybrid,Yes,75,450
181,689,6/14/2025,6,CLIENT A,truth,Remote,Yes,45,270
182,629,12/1/2023,9,ClientA,blue,Onsite,No,30,270
183,222,2/11/2024,9,clienta,these,Onsite,Yes,45,405
184,134,1/20/2025,8,clienta,name,Onsite,Yes,45,360
185,996,5/2/2025,6,Internal,want,Remote,Yes,60,360
186,202,7/27/2025,8,ProjectX,garden,Hybrid,Yes,75,600
187,537,9/24/2025,6,ClientA,these,Onsite,Yes,60,360
188,244,2/17/2025,10,ClientA,dog,Remote,Yes,45,450
189,459,4/17/2024,7,CLIENT A,great,Onsite,Yes,45,315
190,529,8/1/2025,6,Research,hair,Onsite,Yes,60,360
191,899,3/12/2024,10,Research,none,Hybrid,Yes,30,300
192,102,5/17/2024,10,Internal,put,Remote,Yes,75,750
193,169,5/29/2025,10,CLIENT A,group,Hybrid,No,30,300
194,486,6/21/2025,6,CLIENT A,then,Remote,Yes,45,270
195,720,8/23/2025,9,Research,under,Onsite,Yes,60,540
196,858,7/27/2024,6,Internal,news,Remote,No,45,270
197,541,6/30/2024,8,clienta,already,Hybrid,No,60,480
198,652,1/3/2025,9,CLIENT A,her,Remote,Yes,45,405
199,691,4/26/2024,10,Internal,hot,Remote,Yes,45,450
200,856,9/11/2025,7,ClientA,research,Onsite,Yes,30,210
201,472,11/14/2023,9,CLIENT A,rise,Onsite,No,45,405
202,785,8/23/2024,9,ClientA,field,Hybrid,No,30,270
203,874,2/13/2024,9,clienta,by,Onsite,Yes,30,270
204,704,9/11/2024,6,clienta,technology,Hybrid,Yes,60,360
205,859,2/1/2024,8,ClientA,tough,Onsite,Yes,30,240
206,464,7/11/2025,9,clienta,crime,Onsite,No,75,675
207,778,4/3/2024,9,ProjectX,media,Hybrid,No,75,675
208,752,8/30/2024,10,CLIENT A,rich,Remote,No,60,600
209,84,4/9/2024,9,CLIENT A,key,Hybrid,Yes,30,270
210,99,12/24/2023,6,ProjectX,whatever,Hybrid,Yes,75,450
211,133,9/18/2024,10,Internal,hold,Onsite,Yes,30,300
212,154,3/16/2025,9,CLIENT A,generation,Hybrid,No,60,540
213,93,5/25/2024,9,ProjectX,side,Hybrid,No,30,270
214,99,8/24/2025,7,CLIENT A,we,Hybrid,Yes,30,210
215,186,6/20/2025,7,CLIENT A,else,Hybrid,No,45,315
216,824,9/6/2024,7,Research,people,Onsite,Yes,45,315
217,525,4/26/2025,9,ClientA,fish,Onsite,No,45,405
218,900,7/28/2025,8,clienta,night,Remote,Yes,30,240
219,235,9/9/2024,10,clienta,dark,Remote,Yes,45,450
220,725,2/9/2025,7,Internal,capital,Hybrid,Yes,45,315
221,879,11/4/2024,10,Research,really,Hybrid,No,60,600
222,420,2/16/2024,8,ClientA,improve,Hybrid,No,45,360
223,421,12/19/2023,7,Research,democratic,Hybrid,No,30,210
224,430,8/28/2025,6,CLIENT A,admit,Onsite,Yes,60,360
225,790,1/18/2024,9,Internal,again,Hybrid,No,75,675
226,448,10/1/2025,8,Research,green,Hybrid,No,45,360
227,828,7/1/2025,9,Research,over,Hybrid,Yes,75,675
228,756,8/12/2024,8,ClientA,later,Hybrid,No,75,600
229,633,12/7/2023,8,clienta,realize,Hybrid,No,30,240
230,88,7/3/2025,7,ProjectX,lose,Hybrid,Yes,30,210
231,283,12/23/2024,6,Research,street,Hybrid,No,30,180
232,379,10/7/2024,9,Internal,middle,Hybrid,No,30,270
233,519,7/18/2025,10,ProjectX,phone,Onsite,No,45,450
234,905,7/11/2024,9,ClientA,six,Onsite,No,45,405
235,966,7/14/2025,10,Research,difference,Onsite,Yes,30,300
236,416,6/16/2024,9,Internal,despite,Onsite,Yes,75,675
237,845,6/23/2024,7,ProjectX,fact,Hybrid,No,60,420
238,931,11/11/2024,6,Internal,reach,Remote,No,30,180
239,605,9/11/2025,9,ProjectX,year,Onsite,Yes,75,675
240,761,8/22/2025,7,Research,sense,Remote,No,45,315
241,299,7/25/2024,9,ClientA,book,Hybrid,No,30,270
242,161,10/3/2025,8,clienta,bar,Hybrid,Yes,75,600
243,496,1/16/2024,8,clienta,language,Remote,Yes,30,240
244,818,11/25/2024,6,Internal,prove,Remote,Yes,30,180
245,30,12/22/2023,10,Research,everything,Onsite,Yes,60,600
246,836,8/12/2024,7,clienta,onto,Remote,No,30,210
247,811,7/5/2025,10,Internal,several,Hybrid,No,75,750
248,840,3/6/2024,8,Internal,woman,Remote,Yes,45,360
249,214,3/15/2025,9,CLIENT A,challenge,Hybrid,No,30,270
250,799,5/25/2025,7,Internal,seek,Onsite,No,30,210
251,439,1/31/2025,9,Internal,difficult,Remote,Yes,30,270
252,461,12/10/2023,8,ProjectX,already,Onsite,Yes,45,360
253,463,3/3/2025,6,CLIENT A,difficult,Hybrid,Yes,75,450
254,650,11/19/2023,6,Research,three,Hybrid,No,75,450
255,843,3/29/2025,9,clienta,forward,Hybrid,No,45,405
256,756,10/27/2025,9,ProjectX,read,Hybrid,Yes,60,540
257,391,12/20/2023,10,Internal,six,Hybrid,No,60,600
258,87,3/30/2025,6,ClientA,fear,Hybrid,No,30,180
259,352,11/4/2024,7,Research,you,Onsite,Yes,75,525
260,15,3/5/2024,7,ProjectX,point,Onsite,No,75,525
261,722,10/19/2024,8,CLIENT A,grow,Onsite,No,60,480
262,820,4/7/2025,9,Research,manage,Onsite,Yes,75,675
263,390,9/14/2025,7,Research,kid,Onsite,No,60,420
264,943,4/17/2024,8,CLIENT A,card,Hybrid,Yes,60,480
265,143,3/6/2024,9,Internal,result,Hybrid,Yes,75,675
266,788,5/14/2024,9,ProjectX,physical,Remote,No,75,675
267,267,7/6/2024,8,ClientA,write,Hybrid,No,45,360
268,589,11/28/2024,7,ClientA,trouble,Hybrid,Yes,30,210
269,58,10/7/2024,6,ClientA,fight,Remote,No,60,360
270,449,10/30/2024,8,Internal,meeting,Remote,No,30,240
271,399,5/9/2025,10,ProjectX,glass,Remote,No,45,450
272,996,5/30/2024,8,clienta,term,Remote,Yes,30,240
273,484,12/5/2024,7,CLIENT A,movie,Hybrid,No,45,315
274,4,1/6/2025,9,ClientA,its,Remote,No,75,675
275,812,3/30/2024,10,CLIENT A,cut,Remote,Yes,75,750
276,240,6/30/2025,8,clienta,car,Hybrid,No,75,600
277,561,6/15/2024,10,Research,board,Remote,Yes,45,450
278,545,11/18/2023,8,Internal,sure,Hybrid,No,75,600
279,137,8/3/2024,10,CLIENT A,picture,Remote,Yes,60,600
280,356,1/6/2024,10,Internal,evidence,Hybrid,Yes,30,300
281,54,7/20/2024,8,Research,happy,Remote,Yes,45,360
282,447,5/24/2024,9,ClientA,nature,Hybrid,Yes,75,675
283,736,8/2/2025,8,Internal,attention,Onsite,Yes,30,240
284,268,8/13/2024,10,ClientA,always,Remote,No,60,600
285,898,2/11/2025,9,ProjectX,account,Onsite,No,60,540
286,820,1/7/2024,8,Research,view,Onsite,Yes,60,480
287,783,2/22/2025,8,Research,American,Onsite,Yes,75,600
288,800,1/9/2024,10,Research,realize,Onsite,Yes,75,750
289,191,2/27/2025,6,ClientA,eight,Remote,No,75,450
290,514,11/7/2023,6,Research,write,Hybrid,Yes,30,180
291,151,5/2/2024,9,Internal,expert,Remote,No,45,405
292,594,1/14/2025,8,CLIENT A,woman,Hybrid,Yes,75,600
293,701,2/10/2024,10,Internal,when,Hybrid,No,45,450
294,962,11/7/2024,6,ProjectX,lose,Hybrid,Yes,30,180
295,785,8/30/2025,8,Internal,step,Hybrid,No,45,360
296,462,7/8/2025,6,Internal,effort,Hybrid,No,75,450
297,269,10/18/2025,8,ProjectX,board,Onsite,Yes,60,480
298,705,11/12/2024,6,CLIENT A,exist,Remote,No,60,360
299,454,7/27/2025,10,CLIENT A,town,Hybrid,Yes,30,300
300,426,6/6/2024,10,ClientA,bill,Hybrid,No,60,600
301,772,3/26/2025,6,CLIENT A,friend,Hybrid,No,60,360
302,364,11/11/2023,10,ProjectX,win,Onsite,Yes,60,600
303,536,4/26/2025,9,ClientA,suddenly,Hybrid,No,60,540
304,200,2/28/2025,9,ClientA,learn,Hybrid,No,30,270
305,284,10/1/2024,6,CLIENT A,hour,Hybrid,No,75,450
306,525,7/5/2024,10,Research,score,Remote,Yes,45,450
307,26,8/10/2024,7,Internal,feel,Hybrid,Yes,30,210
308,66,2/19/2024,8,ProjectX,together,Hybrid,Yes,60,480
309,429,3/4/2024,8,ProjectX,require,Remote,Yes,45,360
310,353,4/10/2025,8,clienta,raise,Hybrid,Yes,30,240
311,108,2/6/2025,10,ClientA,class,Hybrid,No,75,750
312,222,11/19/2024,9,CLIENT A,way,Remote,No,45,405
313,882,9/10/2025,10,clienta,toward,Hybrid,No,45,450
314,841,9/8/2025,8,clienta,director,Remote,No,45,360
315,695,6/4/2025,7,ClientA,tell,Onsite,No,45,315
316,715,6/13/2024,6,Internal,become,Remote,Yes,75,450
317,546,6/5/2024,10,CLIENT A,fight,Onsite,No,75,750
318,413,6/1/2024,7,ClientA,trade,Onsite,No,45,315
319,705,9/21/2024,6,ProjectX,often,Remote,No,60,360
320,534,2/24/2025,9,ProjectX,might,Remote,No,45,405
321,741,2/13/2025,7,Research,specific,Hybrid,Yes,45,315
322,893,1/22/2024,9,Internal,concern,Hybrid,No,60,540
323,90,1/14/2025,9,clienta,head,Hybrid,Yes,30,270
324,417,1/21/2024,6,Internal,growth,Onsite,No,30,180
325,873,7/22/2024,6,Internal,strategy,Hybrid,No,45,270
326,423,5/25/2025,10,ProjectX,figure,Onsite,Yes,75,750
327,555,3/9/2025,8,ProjectX,term,Hybrid,No,30,240
328,93,5/25/2025,9,CLIENT A,reason,Onsite,No,45,405
329,946,12/11/2024,8,clienta,pay,Hybrid,No,45,360
330,475,7/6/2025,6,ProjectX,officer,Remote,Yes,45,270
331,841,10/20/2025,10,Internal,many,Hybrid,Yes,45,450
332,268,3/16/2024,8,Internal,age,Hybrid,Yes,75,600
333,817,2/3/2024,7,ProjectX,issue,Onsite,No,45,315
334,362,12/18/2023,7,ClientA,change,Remote,No,75,525
335,3,6/9/2024,8,Research,necessary,Remote,Yes,45,360
336,200,6/28/2025,6,CLIENT A,us,Onsite,Yes,30,180
337,126,8/6/2024,6,ClientA,night,Onsite,No,30,180
338,754,11/29/2024,10,ClientA,move,Hybrid,Yes,60,600
339,316,6/17/2024,7,clienta,quite,Remote,Yes,30,210
340,846,10/25/2025,7,ProjectX,become,Onsite,No,60,420
341,404,3/24/2024,6,clienta,prove,Onsite,No,45,270
342,111,8/25/2025,9,ProjectX,stay,Hybrid,Yes,30,270
343,453,4/3/2025,6,CLIENT A,yard,Onsite,No,60,360
344,78,3/9/2024,10,ClientA,turn,Remote,Yes,30,300
345,430,6/8/2024,8,Internal,music,Onsite,No,60,480
346,438,9/29/2025,9,Internal,save,Onsite,Yes,45,405
347,904,9/20/2025,10,Internal,thank,Onsite,Yes,30,300
348,534,5/22/2025,9,Internal,himself,Onsite,Yes,30,270
349,819,8/9/2025,10,Research,both,Remote,Yes,60,600
350,993,6/21/2024,6,Internal,social,Hybrid,Yes,45,270
351,970,12/21/2024,6,Internal,your,Onsite,Yes,30,180
352,469,9/7/2025,6,Internal,our,Onsite,Yes,45,270
353,123,4/15/2024,7,clienta,nor,Onsite,Yes,60,420
354,707,4/15/2025,8,clienta,very,Onsite,Yes,60,480
355,33,12/18/2024,9,Internal,improve,Remote,Yes,30,270
356,538,11/8/2024,6,clienta,company,Hybrid,Yes,30,180
357,203,5/5/2025,8,clienta,author,Remote,Yes,60,480
358,658,5/12/2025,8,CLIENT A,put,Onsite,No,45,360
359,776,2/28/2025,9,Internal,money,Hybrid,No,60,540
360,906,6/10/2024,10,Research,exactly,Hybrid,No,60,600
361,906,10/31/2024,8,ProjectX,medical,Hybrid,No,30,240
362,620,3/26/2024,9,clienta,general,Remote,No,60,540
363,596,7/19/2025,8,CLIENT A,guy,Remote,No,75,600
364,982,12/14/2024,7,ProjectX,effort,Onsite,No,30,210
365,437,3/1/2024,6,Internal,PM,Hybrid,No,75,450
366,244,1/20/2025,8,CLIENT A,end,Hybrid,No,30,240
367,337,7/13/2025,6,Internal,sing,Onsite,No,60,360
368,365,12/17/2024,7,ClientA,develop,Remote,Yes,60,420
369,866,4/30/2024,8,Research,effort,Onsite,No,75,600
370,42,2/26/2024,8,clienta,medical,Hybrid,Yes,45,360
371,753,9/14/2024,6,Research,song,Hybrid,No,60,360
372,987,5/26/2024,9,Research,tonight,Hybrid,No,45,405
373,789,11/25/2024,9,CLIENT A,number,Hybrid,Yes,60,540
374,543,2/4/2024,6,clienta,sit,Hybrid,Yes,30,180
375,647,1/7/2025,10,ClientA,stuff,Remote,Yes,30,300
376,687,4/14/2025,9,clienta,job,Remote,Yes,75,675
377,901,1/2/2025,6,Research,just,Hybrid,No,75,450
378,100,7/9/2025,9,Internal,team,Hybrid,No,75,675
379,859,3/7/2025,10,ProjectX,peace,Hybrid,No,45,450
380,812,5/17/2024,7,Research,type,Remote,Yes,45,315
381,472,5/20/2024,9,ProjectX,health,Onsite,No,75,675
382,167,12/23/2023,9,Internal,buy,Hybrid,Yes,60,540
383,207,4/28/2024,7,CLIENT A,whatever,Remote,No,60,420
384,862,10/1/2025,8,CLIENT A,training,Hybrid,No,60,480
385,348,4/25/2025,7,ProjectX,see,Onsite,No,45,315
386,916,9/7/2025,10,Research,identify,Hybrid,Yes,60,600
387,12,1/6/2024,9,ClientA,among,Hybrid,No,75,675
388,962,4/20/2025,7,ProjectX,eye,Hybrid,Yes,75,525
389,836,5/21/2024,10,ClientA,position,Onsite,No,75,750
390,828,4/18/2024,6,ProjectX,possible,Remote,No,30,180
391,209,3/21/2024,6,Research,one,Onsite,No,30,180
392,598,1/7/2024,7,ClientA,task,Remote,No,45,315
393,1,11/8/2023,9,CLIENT A,level,Remote,Yes,75,675
394,717,4/14/2025,6,CLIENT A,field,Hybrid,No,60,360
395,382,12/5/2023,8,ProjectX,next,Hybrid,Yes,75,600
396,954,10/10/2025,10,ProjectX,weight,Remote,Yes,60,600
397,55,1/1/2025,7,clienta,seek,Remote,Yes,45,315
398,791,7/4/2024,8,Internal,seek,Hybrid,Yes,45,360
399,372,3/18/2025,6,ClientA,prove,Onsite,Yes,45,270
400,195,4/28/2024,10,clienta,end,Hybrid,No,75,750
401,887,11/26/2023,8,ProjectX,method,Hybrid,No,45,360
402,755,8/24/2025,7,CLIENT A,nice,Onsite,No,60,420
403,468,8/7/2024,6,ClientA,computer,Remote,No,30,180
404,11,10/29/2024,7,clienta,together,Hybrid,No,75,525
405,37,10/2/2024,6,Internal,couple,Hybrid,No,60,360
406,804,5/23/2025,10,ClientA,all,Hybrid,No,30,300
407,996,5/6/2025,9,ClientA,know,Remote,Yes,75,675
408,450,3/9/2025,8,CLIENT A,record,Onsite,Yes,75,600
409,851,8/13/2024,8,ProjectX,about,Onsite,No,45,360
410,371,11/15/2024,10,ProjectX,blood,Remote,No,45,450
411,285,12/19/2024,7,ClientA,center,Remote,No,60,420
412,655,7/11/2025,9,CLIENT A,whether,Onsite,No,45,405
413,762,1/18/2024,8,clienta,meeting,Onsite,Yes,60,480
414,609,1/12/2024,7,Research,subject,Remote,Yes,45,315
415,621,10/24/2025,6,ClientA,sound,Onsite,Yes,30,180
416,118,1/14/2024,6,Research,option,Hybrid,No,30,180
417,353,6/1/2024,10,ClientA,claim,Onsite,Yes,75,750
418,346,11/3/2025,8,Internal,let,Remote,Yes,75,600
419,906,2/25/2024,6,ClientA,politics,Hybrid,Yes,60,360
420,219,3/8/2024,9,ProjectX,store,Onsite,No,30,270
421,863,8/23/2024,7,CLIENT A,growth,Onsite,No,45,315
422,342,10/28/2025,8,ClientA,my,Remote,Yes,75,600
423,746,12/14/2023,6,clienta,international,Onsite,No,75,450
424,682,5/30/2024,6,Internal,room,Remote,No,60,360
425,983,7/9/2025,8,Internal,for,Hybrid,No,75,600
426,253,3/12/2025,9,clienta,we,Remote,No,60,540
427,868,11/12/2023,8,ProjectX,between,Hybrid,No,60,480
428,494,10/21/2025,10,clienta,kid,Onsite,No,30,300
429,316,10/15/2024,9,clienta,ready,Onsite,No,30,270
